StateNames,statecode,Year,schools_established,sc_schools,st_schools,tot_min_schools,SC_res,ST_res,Elec_Yrs_ECI,female_win_prop,SC_curr_share,ST_curr_share,sc_census_share,st_census_share,Population_Density_SqKm,sc_school_prop,st_school_prop,minority_schools_prop,ST_res_inter_ST_curr_share,SC_res_inter_SC_curr_share
Andhra Pradesh,1,1991,829,178,82,260,13.265306122449,5.10204081632653,0,5.78231292517007,18.01415490570492,7.980632683709851,18.01415490570492,7.980632683709851,195,.2147165259348613,.0989143546441496,.3136308805790108,40.71751369239719,238.9632793613921
Bihar,2,1991,343,51,35,81,15.1234567901235,8.641975308641971,0,3.08641975308642,15.24515394283286,8.202532414294881,15.24515394283286,8.202532414294881,555,.1486880466472303,.1020408163265306,.2361516034985423,70.88608259267177,230.5594269132136
Delhi,3,1991,83,2,0,2,16.3636363636364,0,0,7.27272727272727,21.88670616710519,0,21.88670616710519,0,4194,.0240963855421687,0,.0240963855421687,0,358.1461009162675
Gujarat,4,1991,745,230,58,288,7.14285714285714,14.2857142857143,0,2.1978021978022,7.018281176348045,20.92550337408056,7.018281176348045,20.92550337408056,174,.3087248322147651,.0778523489932886,.3865771812080537,298.9357624868654,50.13057983105744
Haryana,5,1991,212,43,0,43,18.8888888888889,0,1,6.66666666666667,21.55933352373425,0,21.55933352373425,0,292,.2028301886792453,0,.2028301886792453,0,407.2318554483138
Karnataka,6,1991,1121,234,179,301,14.7321428571429,.892857142857143,0,4.46428571428571,18.16959335536851,5.244695160478249,18.16959335536851,5.244695160478249,194,.2087421944692239,.1596788581623551,.2685102586975914,4.682763536141295,267.6770449674833
Kerala,7,1991,99,14,10,22,9.28571428571429,.714285714285714,1,5.71428571428571,10.98094781341347,1.446263705151277,10.98094781341347,1.446263705151277,655,.1414141414141414,.101010101010101,.2222222222222222,1.033045503679483,101.9659439816966
Maharashtra,8,1991,1562,299,290,589,6.25,7.638888888888889,0,2.08333333333333,11.47212532808509,13.23635592416757,11.47212532808509,13.23635592416757,204,.1914212548015365,.1856594110115237,.3770806658130602,101.1110521985023,71.7007833005318
Madhya Pradesh,9,1991,2369,272,305,577,13.75,23.4375,0,3.4375,14.79553269123193,28.81994026513299,14.79553269123193,28.81994026513299,124,.1148163782186577,.1287463064584213,.243562684677079,675.4673499640545,203.4385745044391
Odisha,10,1991,860,140,169,294,14.9659863945578,23.1292517006803,0,4.76190476190476,16.69538828663288,24.32293920751082,16.69538828663288,24.32293920751082,169,.1627906976744186,.1965116279069767,.341860465116279,562.5713830308632,249.8629539496074
